,rmse,mae,r2,runtime_sec
cnn,1.2697917222976685,0.9280505180358887,0.655450701713562,1461.41440745804
qnn,1.7384263277053833,1.2650154829025269,0.3541985750198364,65.97195491706952
hybrid,1.3345208168029785,0.9892144799232483,0.6194277405738831,92.92003925004974
